match_id,team_a,team_b,stage,scenario,strategy_type,scenario_roi,roi_lift,risk_score,risk_level,roi_ci_low,roi_ci_high,recommendation_reason,strategy_recommendation,scenario_rank
1,Belgium,United States,tournament,conservative_efficiency,conservative,3.45,-0.002,0.153,low,3.278,3.622,"Protect downside, prioritize performance-based inventory, and keep spend flexible.",Hold baseline until stronger attention or conversion signals appear.,4
1,Belgium,United States,tournament,balanced_activation,balanced,3.494,0.042,0.253,low,3.284,3.704,Use a mixed media package and lean into proven fan attention signals.,Hold baseline until stronger attention or conversion signals appear.,3
1,Belgium,United States,tournament,aggressive_media_surge,aggressive,3.614,0.162,0.393,medium,3.338,3.89,"Buy premium moments when attention, stage value, and player availability support scale.","Conditional: Buy premium moments when attention, stage value, and player availability support scale. Monitor fan sentiment and player availability.",2
1,Belgium,United States,tournament,player_risk_defense,conservative,3.372,-0.08,0.333,low,3.139,3.605,Shift budget away from star-dependent creative if player availability weakens.,Hold baseline until stronger attention or conversion signals appear.,5
1,Belgium,United States,tournament,knockout_takeover,aggressive,3.678,0.226,0.433,medium,3.379,3.977,Capture knockout-stage attention when the upside justifies higher variance.,Recommended: Capture knockout-stage attention when the upside justifies higher variance.,1
2,France,Mexico,tournament,conservative_efficiency,conservative,3.745,-0.002,0.211,low,3.553,3.937,"Protect downside, prioritize performance-based inventory, and keep spend flexible.",Hold baseline until stronger attention or conversion signals appear.,4
2,France,Mexico,tournament,balanced_activation,balanced,3.789,0.042,0.311,low,3.56,4.018,Use a mixed media package and lean into proven fan attention signals.,Hold baseline until stronger attention or conversion signals appear.,3
2,France,Mexico,tournament,aggressive_media_surge,aggressive,3.909,0.162,0.451,medium,3.613,4.205,"Buy premium moments when attention, stage value, and player availability support scale.","Conditional: Buy premium moments when attention, stage value, and player availability support scale. Monitor fan sentiment and player availability.",2
2,France,Mexico,tournament,player_risk_defense,conservative,3.667,-0.08,0.391,medium,3.414,3.92,Shift budget away from star-dependent creative if player availability weakens.,Hold baseline until stronger attention or conversion signals appear.,5
2,France,Mexico,tournament,knockout_takeover,aggressive,3.973,0.226,0.491,medium,3.655,4.291,Capture knockout-stage attention when the upside justifies higher variance.,Recommended: Capture knockout-stage attention when the upside justifies higher variance.,1
3,Brazil,Yugoslavia,tournament,conservative_efficiency,conservative,4.004,-0.002,0.234,low,3.804,4.204,"Protect downside, prioritize performance-based inventory, and keep spend flexible.",Hold baseline until stronger attention or conversion signals appear.,4
