team,sponsor,stage,counterfactual,baseline_roi,counterfactual_roi,roi_delta,roi_ci_low,roi_ci_high,method,reason
Brazil,Adidas,group_or_knockout,player_absent,4.541,3.9961,-0.5449,3.6761,4.3161,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,group_or_knockout,media_surge,4.541,5.1767,0.6357,4.9167,5.4367,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,group_or_knockout,budget_cut,4.541,4.2231,-0.3179,3.9431,4.5031,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,group_or_knockout,budget_increase,4.541,4.9043,0.3633,4.6343,5.1743,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,group_or_knockout,negative_news_shock,4.541,3.7236,-0.8174,3.3436,4.1036,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Germany,Coca-Cola,group_or_knockout,player_absent,4.541,3.9961,-0.5449,3.6761,4.3161,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Germany,Coca-Cola,group_or_knockout,media_surge,4.541,5.1767,0.6357,4.9167,5.4367,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Germany,Coca-Cola,group_or_knockout,budget_cut,4.541,4.2231,-0.3179,3.9431,4.5031,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Germany,Coca-Cola,group_or_knockout,budget_increase,4.541,4.9043,0.3633,4.6343,5.1743,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Germany,Coca-Cola,group_or_knockout,negative_news_shock,4.541,3.7236,-0.8174,3.3436,4.1036,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
